year,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過順,上がり3F,単勝,人気,馬体重
2023,6,11,ジュビリーヘッド,牡6,58,北村友一,1:09.4,1.1/2,16-16,34.3,135.7,15,466(-6)
2023,8,16,モズメイメイ,牝3,54,武豊,1:09.5,クビ,3-4,36.0,44.7,12,460(+2)
2024,7,13,ルガル,牡4,58,西村淳也,1:07.0,,3-3,34.2,28.5,9,526(+2)
2024,1,2,トウシンマカオ,牡5,58,菅原明良,1:07.0,クビ,7-6,33.5,9.6,5,478(+4)
2024,3,5,ナムラクレア,牝5,56,横山武史,1:07.1,クビ,12-12,33.2,8.2,4,472(-4)
2024,3,6,ママコチャ,牝5,56,川田将雅,1:07.1,クビ,5-5,33.9,5.2,2,498(0)
2024,2,3,ウインマーベル,牡5,58,松山弘平,1:07.2,1/2,8-6,33.6,13.5,7,476(-4)
2024,7,14,ビクターザウィナー,セ6,58,モレイラ,1:07.4,3/4,4-4,34.3,12.5,6,494(+1)
2024,6,12,サトノレーヴ,牡5,58,レーン,1:07.4,クビ,8-6,33.8,3.0,1,552(+4)
2024,5,10,ピューロマジック,牝3,54,横山典弘,1:07.5,アタマ,1-1,35.4,34.5,10,454(-2)
2024,2,4,エイシンスポッター,牡5,58,シュタル,1:07.5,アタマ,11-10,33.7,126.1,15,490(-10)
2024,4,8,モズメイメイ,牝4,56,国分恭介,1:07.6,3/4,14-14,33.5,55.9,11,464(0)
2024,1,1,オオバンブルマイ,牡4,58,武豊,1:07.6,クビ,15-16,33.3,17.1,8,454(+6)
2024,4,7,マッドクール,牡5,58,坂井瑠星,1:07.7,クビ,6-6,34.3,6.4,3,540(+6)
2024,5,9,ムゲン,セ6,58,ティータ,1:07.7,アタマ,13-12,33.7,59.1,13,490(-14)
2024,8,16,ウイングレイテスト,牡7,58,松岡正海,1:07.8,1/2,2-2,35.3,91.7,14,510(+6)
2024,6,11,ダノンスコーピオン,牡5,58,戸崎圭太,1:07.8,アタマ,15-14,33.5,158.7,16,472(-6)
2024,8,15,ヴェントヴォーチェ,牡7,58,ルメール,1:08.4,3.1/2,8-10,34.8,56.5,12,518(-2)
